29891 13620	13620 2653495094
786 23958	23958 2653905670
27809 25326	25326 2653924248
22573 26797	26797 2653951041
15464 28601	28601 2653717360
20398 29127	29127 2653714071
30341 21598	21598 2653899607
12039 22812	22812 2653864241
10402 7409	7409 2653634460
29395 1646	1646 2654350374
17098 17246	17246 2653526564
3863 14396	14396 2653484298
31182 6213	6213 2653634905
1224 21305	21305 2653827252
10472 11784	11784 2653437374
28814 17916	17916 2653551803
30367 31266	31266 2653747756
30408 21753	21753 2653897834
16618 8378	8378 2653652859
12496 25264	25264 2653901547
5272 7799	7799 2653631820
32640 2084	2084 2654360923
13295 17559	17559 2653543314
26357 4495	4495 2653595544
28820 15163	15163 2653504414
22418 13140	13140 2653463346
23723 32261	32261 2653789636
2120 2869	2869 2654333496
5950 1765	1765 2654320572
17941 16838	16838 2653535675
14307 6960	6960 2653628586
23755 24609	24609 2653907831
7577 28403	28403 2653710341
32019 11740	11740 2653464287
9460 4742	4742 2653592416
17329 11064	11064 2653684880
2426 24164	24164 2653908163
17930 31643	31643 2653741241
30284 20793	20793 2653848648
18403 21569	21569 2653888850
2569 5181	5181 2653594921
32363 17198	17198 2653542932
20975 6593	6593 2653629986
1148 25191	25191 2653891648
67 2567	2567 2654335530
25630 19297	19297 2653557732
25075 29271	29271 2653715048
22861 24250	24250 2653929422
22395 27215	27215 2653939752
12796 13351	13351 2653481618
21765 9083	9083 2653670029
28505 18094	18094 2653580910
11732 5926	5926 2653610629
3155 12565	12565 2653451476
12002 18031	18031 2653563470
3417 3738	3738 2653569145
19656 16543	16543 2653532435
15717 21476	21476 2653887642
26847 25529	25529 2653920455
15418 13370	13370 2653484591
29093 2899	2899 2654360726
16874 26355	26355 2653947030
25186 8613	8613 2653665526
15258 24877	24877 2653902914
26123 18144	18144 2653571284
9609 22466	22466 2653889371
8550 705	705 2654315489
17999 7544	7544 2653644284
26735 13413	13413 2653495225
12131 12664	12664 2653459120
25339 13407	13407 2653493992
9952 4610	4610 2653593612
25755 23816	23816 2653928441
24201 10078	10078 2653677315
31683 27926	27926 2653741747
7178 23318	23318 2653868106
31787 30832	30832 2653758744
13953 12130	12130 2653435768
2166 23361	23361 2653862429
3388 27364	27364 2653918377
24338 25419	25419 2653919179
23492 11413	11413 2653460513
28255 9087	9087 2653676707
3867 31744	31744 2653778617
29715 9674	9674 2653684813
67 10670	10670 2653679680
11229 28465	28465 2653714929
14335 5089	5089 2653607169
20808 2592	2592 2654357687
8158 9093	9093 2653656771
30947 2815	2815 2654363387
17524 5475	5475 2653604868
1183 17159	17159 2653511902
3307 25496	25496 2653897381
14200 5460	5460 2653601800
3003 25413	25413 2653897950
11351 8763	8763 2653658025
19637 27273	27273 2653940150
13367 15581	15581 2653513918
17478 4780	4780 2653598877
